root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
06:00:04.533754 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpee0dbd127d1d4-cme0dbd127d1d2.cpe.net.cable.rogers.com.65116: Flags [P.], seq 19304:19516, ack 1, win 501, length 212
06:00:04.533883 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpee0dbd127d1d4-cme0dbd127d1d2.cpe.net.cable.rogers.com.65116: Flags [P.], seq 19516:19728, ack 1, win 501, length 212
06:00:04.533992 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpee0dbd127d1d4-cme0dbd127d1d2.cpe.net.cable.rogers.com.65116: Flags [P.], seq 19728:19940, ack 1, win 501, length 212
06:00:04.534098 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpee0dbd127d1d4-cme0dbd127d1d2.cpe.net.cable.rogers.com.65116: Flags [P.], seq 19940:20152, ack 1, win 501, length 212
06:00:04.534200 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpee0dbd127d1d4-cme0dbd127d1d2.cpe.net.cable.rogers.com.65116: Flags [P.], seq 20152:20364, ack 1, win 501, length 212
06:00:04.534303 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpee0dbd127d1d4-cme0dbd127d1d2.cpe.net.cable.rogers.com.65116: Flags [P.], seq 20364:20576, ack 1, win 501, length 212
06:00:04.534406 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpee0dbd127d1d4-cme0dbd127d1d2.cpe.net.cable.rogers.com.65116: Flags [P.], seq 20576:20788, ack 1, win 501, length 212
06:00:04.534510 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpee0dbd127d1d4-cme0dbd127d1d2.cpe.net.cable.rogers.com.65116: Flags [P.], seq 20788:21000, ack 1, win 501, length 212
06:00:04.534614 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpee0dbd127d1d4-cme0dbd127d1d2.cpe.net.cable.rogers.com.65116: Flags [P.], seq 21000:21212, ack 1, win 501, length 212
06:00:04.534716 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpee0dbd127d1d4-cme0dbd127d1d2.cpe.net.cable.rogers.com.65116: Flags [P.], seq 21212:21424, ack 1, win 501, length 212
