05:58:47.893625 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 341888:342052, ack 181, win 501, length 164
05:58:47.893731 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 342052:342216, ack 181, win 501, length 164
05:58:47.893862 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 342216:342380, ack 181, win 501, length 164
05:58:47.893993 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 342380:342544, ack 181, win 501, length 164
05:58:47.894083 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 342544:342708, ack 181, win 501, length 164
05:58:47.894165 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 342708:342872, ack 181, win 501, length 164
05:58:47.894253 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 342872:343036, ack 181, win 501, length 164
05:58:47.894334 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 343036:343200, ack 181, win 501, length 164
05:58:47.894421 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 343200:343364, ack 181, win 501, length 164
05:58:47.894503 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 343364:343528, ack 181, win 501, length 164
05:58:47.894590 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 343528:343692, ack 181, win 501, length 164
05:58:47.894679 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 343692:343856, ack 181, win 501, length 164
05:58:47.894767 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 343856:344020, ack 181, win 501, length 164
05:58:47.894848 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 344020:344184, ack 181, win 501, length 164
05:58:47.894930 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 344184:344348, ack 181, win 501, length 164
05:58:47.895020 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 344348:344512, ack 181, win 501, length 164
05:58:47.895105 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 344512:344676, ack 181, win 501, length 164
05:58:47.895187 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 344676:344840, ack 181, win 501, length 164
